,PB119_E1_ACAGTG_L004_R1,PB217_G1_CAACTA_L002_R1,PB220_G1_CTTGTA_L005_R1,PNIBD01_E,PNIBD46_A_S22_L006_R1_001,PNIBD51_E,PNIBD52_E_S58_L007_R1_001
hsa-mir-125b-1-5p_+_4,0,0,0,0,0,13.53432406,0
hsa-mir-125b-2-3p,0,0,0,10.45355489,0,0,0
hsa-mir-125b-2-3p_-_1,0,0,0,0,0,0,0
hsa-mir-125b-2-3p_+_1,0,0,0,0,0,0,0
hsa-mir-125b-2-3p_+_2,31.45274369,56.05724521,66.32347884,103.5852257,38.54295791,363.0383395,139.8529178
hsa-mir-125b-2-3p_+_3,0,0,0,0,0,0,0
hsa-mir-125b-2-3p_+_4,0,0,0,0,0,0,0
hsa-mir-125b-2-3p_+_5,0,0,0,0,0,0,0
hsa-mir-125b-2-3p_+_6,0,0,0,0,0,0,0
hsa-mir-125b-2-5p,1514.224946,2062.906624,1993.257409,3412.61051,2418.570609,5616.744485,9657.620935
hsa-mir-125b-2-5p_-_1,0,0,0,0,0,0,0
hsa-mir-125b-2-5p_+_1,0,0,10.06695661,24.70840247,0,44.58365573,116.5440982
hsa-mir-125b-2-5p_+_2,0,0,0,0,0,10.34977722,50.50244254
hsa-mir-125b-2-5p_+_3,0,0,0,0,0,0,0
hsa-mir-125b-2-5p_+_4,0,0,0,0,0,13.53432406,0
hsa-mir-126-3p,7297.036536,9806.280761,6297.177447,6807.16488,5980.582302,6240.119529,13453.07373
hsa-mir-126-3p_-_1,344.4824309,635.3154457,351.1591335,595.8526288,250.5292264,486.4395295,617.6837203
hsa-mir-126-3p_+_1,2311.027786,2892.553853,2310.662629,2168.637478,2556.682874,1964.069262,4316.016436
hsa-mir-126-3p_+_2,0,0,11.84347837,55.11874397,0,15.92273419,0
hsa-mir-126-3p_+_3,0,0,0,0,0,0,0
hsa-mir-126-3p_+_4,0,0,0,0,0,0,0
hsa-mir-126-3p_+_5,0,52.32009553,13.0278262,0,0,0,0
hsa-mir-126-3p_+_6,0,0,0,0,0,0,0
hsa-mir-126-3p_+_7,0,0,0,0,0,0,0
hsa-mir-126-5p,47215.06153,29676.70561,28686.08895,37217.50638,31797.94027,35933.63038,22395.89087
hsa-mir-126-5p_-_1,0,59.79439489,24.87130457,19.95678661,0,42.1952456,0
hsa-mir-126-5p_-_2,0,0,0,0,0,0,0
hsa-mir-126-5p_-_4,0,0,0,0,0,0,0
hsa-mir-126-5p_-_5,0,0,0,0,0,0,0
hsa-mir-126-5p_+_1,164.7524669,190.5946337,119.6191315,181.5117258,141.324179,238.0448761,120.4289014
hsa-mir-126-5p_+_2,0,0,15.98869579,13.30452441,0,18.31114432,0
hsa-mir-126-5p_+_3,58.41223828,71.00584393,21.31826106,0,0,0,85.46567199
hsa-mir-126-5p_+_4,0,0,15.98869579,0,0,39.80683547,42.732836
hsa-mir-126-5p_+_5,0,0,0,0,0,0,0
hsa-mir-126-5p_+_6,0,0,0,0,0,0,0
hsa-mir-126-5p_+_7,29.95499399,0,10.06695661,18.05614027,0,23.88410128,0
hsa-mir-1260a,0,0,14.21217404,0,0,0,0
hsa-mir-1260a_+_1,0,0,0,0,0,0,0
hsa-mir-1260b,0,0,9.474782692,0,0,0,0
hsa-mir-1260b_-_1,0,0,0,0,0,0,0
hsa-mir-1262,0,0,21.31826106,0,0,137.7316507,42.732836
hsa-mir-1262_-_1,0,0,0,0,0,75.6329874,0
hsa-mir-1262_-_2,0,0,0,15.20517075,0,13.53432406,112.6592949
hsa-mir-1262_+_1,0,0,0,0,0,0,0
hsa-mir-1265,0,0,0,0,0,0,0
hsa-mir-1266,17.97299639,0,12.43565228,0,0,0,0
hsa-mir-1268b,0,0,0,0,0,0,0
hsa-mir-1269a,0,0,0,0,0,0,0
hsa-mir-1269a_-_1,0,0,0,0,0,0,0
hsa-mir-1269b,0,0,0,0,0,0,0
hsa-mir-127-3p,16677.4429,4521.951113,10126.174,14781.32662,10586.46577,25256.64097,114411.3412
hsa-mir-127-3p_-_1,71.89198558,56.05724521,88.82608774,154.902677,35.33104475,127.3818735,567.1812778
hsa-mir-127-3p_-_2,0,0,0,0,0,0,0
hsa-mir-127-3p_-_3,0,0,0,0,0,0,0
hsa-mir-127-3p_+_1,47.92799039,0,38.49130469,38.01292688,41.75487107,105.0900456,120.4289014
hsa-mir-127-3p_+_2,0,0,8.290434856,0,0,0,66.04165563
hsa-mir-127-3p_+_3,0,0,0,0,0,0,0
hsa-mir-127-3p_+_4,0,0,0,14.25484758,0,0,0
hsa-mir-127-3p_+_5,0,0,0,0,0,0,0
hsa-mir-127-3p_+_7,0,0,0,0,0,0,0
hsa-mir-127-5p,16.47524669,0,35.5304351,42.76454274,0,0,264.1666225
hsa-mir-127-5p_-_1,0,0,0,0,0,0,0
hsa-mir-127-5p_-_2,0,0,0,0,0,0,0
hsa-mir-127-5p_+_1,0,0,0,13.30452441,0,0,42.732836
hsa-mir-127-5p_+_2,16.47524669,0,16.58086971,27.55937199,0,26.27251141,0
hsa-mir-127-5p_+_3,0,0,0,0,0,0,0
hsa-mir-1270-1,0,0,0,0,0,0,0
hsa-mir-1270-1_-_1,0,0,0,0,0,0,0
hsa-mir-1270-2,0,0,0,0,0,0,0
hsa-mir-1270-2_-_1,0,0,0,0,0,0,0
hsa-mir-1271-5p,0,0,7.106087019,71.27423789,99.56930792,142.508471,0
hsa-mir-1271-5p_+_1,0,0,0,0,0,0,0
hsa-mir-1271-5p_+_5,0,0,0,0,0,0,0
hsa-mir-1275,298.0521902,478.3551591,302.0086983,258.4879028,430.3963633,453.0017877,2517.35252
hsa-mir-1275_-_2,59.90998798,44.84579617,32.5695655,59.87035983,89.93356845,70.85616714,287.4754422
hsa-mir-1276,0,0,0,0,0,0,0
hsa-mir-1277-3p,0,0,9.474782692,0,0,0,0
hsa-mir-1277-3p_-_1,0,0,0,0,0,0,0
hsa-mir-1277-5p_+_3,0,0,0,0,0,0,0
hsa-mir-1278,0,0,7.106087019,0,0,0,0
hsa-mir-128-1,703.9423588,1143.567802,746.139137,1241.122063,761.2234186,1898.786052,446.7523763
hsa-mir-128-1_-_1,0,0,0,0,0,0,0
hsa-mir-128-1_+_1,0,0,0,0,0,0,0
hsa-mir-128-1_+_2,0,0,0,0,0,0,0
hsa-mir-128-1_+_3,0,0,0,0,0,0,0
hsa-mir-128-1_+_4,0,0,0,0,0,0,0
hsa-mir-128-1_+_6,0,0,0,0,0,0,0
hsa-mir-128-2,576.6336343,904.3902227,567.3026137,1027.299349,594.2039344,1382.889464,427.32836
hsa-mir-128-2_-_1,0,0,0,0,0,0,0
hsa-mir-128-2_+_2,0,0,0,0,0,0,0
hsa-mir-1280,0,0,0,0,0,0,0
hsa-mir-1284,0,0,0,0,0,0,0
hsa-mir-1285-1-3p,0,0,13.0278262,0,0,0,0
hsa-mir-1285-2-3p,0,0,0,0,0,0,0
hsa-mir-1286,0,0,0,0,0,0,0
hsa-mir-1287,0,0,17.76521755,0,35.33104475,0,112.6592949
hsa-mir-1287_+_7,0,0,0,0,0,0,0
hsa-mir-1288,0,0,0,0,0,0,0
hsa-mir-129-1-3p,0,0,0,0,0,0,0
hsa-mir-129-1-3p_-_2,0,0,0,0,0,0,0
hsa-mir-129-1-5p,0,0,0,13.30452441,0,11.14591393,89.35047526
hsa-mir-129-2-3p,0,0,0,0,0,0,0
hsa-mir-129-2-5p,0,0,0,13.30452441,0,11.14591393,89.35047526
hsa-mir-1291,46.43024069,112.1144904,13.62000012,0,186.2909632,0,38.84803272
hsa-mir-1291_-_1,137.7929724,336.3434712,20.72608714,19.95678661,186.2909632,54.13729624,108.7744916
hsa-mir-1291_-_2,0,0,0,0,0,0,0
hsa-mir-1292,0,0,0,0,0,0,0
hsa-mir-1292_+_1,0,0,0,0,0,0,0
hsa-mir-1292_+_3,0,0,0,0,0,0,0
hsa-mir-1292_+_4,0,0,0,0,0,0,0
hsa-mir-1294,16.47524669,0,0,0,0,0,0
hsa-mir-1294_-_1,0,0,0,0,0,0,0
hsa-mir-1294_-_3,0,0,0,0,0,0,0
hsa-mir-1294_+_1,0,0,0,0,0,0,0
hsa-mir-1294_+_2,0,0,0,0,0,0,0
hsa-mir-1295a,0,0,0,0,0,31.04933167,0
hsa-mir-1296,182.7254633,153.2231369,165.2165232,13.30452441,125.2646132,76.42912411,629.3381301
hsa-mir-1296_-_1,0,0,0,0,0,0,0
hsa-mir-1296_+_1,0,0,0,0,0,0,0
hsa-mir-1297,0,0,0,0,0,0,0
hsa-mir-1299,0,0,0,0,0,0,0
hsa-mir-1301,38.94149219,63.53154457,33.75391334,89.33037816,96.35739477,85.18662791,240.8578029
hsa-mir-1301_+_1,0,0,0,0,0,0,0
hsa-mir-1301_+_3,0,0,0,0,0,30.25319496,0
hsa-mir-1303_-_1,0,0,0,0,0,0,0
hsa-mir-1304-3p,0,0,0,0,0,0,0
hsa-mir-1304-3p_-_1,0,0,0,0,0,0,0
hsa-mir-1304-3p_-_2,0,0,0,0,0,0,0
hsa-mir-1304-3p_+_1,0,0,0,0,0,0,0
hsa-mir-1304-3p_+_2,0,0,0,0,0,0,0
hsa-mir-1304-5p_-_3,0,0,0,0,0,0,0
hsa-mir-1306-3p,0,0,0,0,0,0,0
hsa-mir-1306-5p,0,0,6.513913101,0,0,19.10728103,0
hsa-mir-1307-3p,537.6921421,680.1612418,474.9234824,411.4899334,661.6541107,484.0511193,4281.053206
hsa-mir-1307-3p_-_1,0,0,0,0,0,0,0
hsa-mir-1307-3p_-_8,0,0,0,0,0,0,0
hsa-mir-1307-3p_+_1,125.8109748,201.8060827,194.2330452,282.2459821,298.7079238,316.0662737,1262.561064
hsa-mir-1307-3p_+_2,0,0,0,0,0,0,0
hsa-mir-1307-3p_+_3,0,0,0,0,0,0,0
hsa-mir-1307-3p_+_4,0,0,0,0,0,0,0
hsa-mir-1307-3p_+_5,0,0,0,0,0,0,0
hsa-mir-1307-3p_+_8,0,0,0,0,0,0,0
hsa-mir-1307-5p,4959.049255,4125.813247,4602.375693,2371.056314,4368.201896,2258.639845,37496.12118
hsa-mir-1307-5p_-_1,0,0,0,0,0,0,0
hsa-mir-1307-5p_-_2,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_1,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_2,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_3,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_4,0,0,0,10.45355489,0,0,0
hsa-mir-1307-5p_+_5,0,0,0,12.35420123,0,0,46.61763927
hsa-mir-1307-5p_+_6,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_7,0,0,0,0,0,0,0
hsa-mir-1307-5p_+_8,0,0,0,0,0,0,0
hsa-mir-130a-3p,3143.776619,2971.033996,3855.644382,2549.71707,2029.929116,1573.962275,1394.644375
hsa-mir-130a-3p_-_1,0,0,0,0,0,29.45705825,0
hsa-mir-130a-3p_+_1,0,0,0,0,0,23.88410128,0
hsa-mir-130a-3p_+_2,0,0,0,0,0,0,0
hsa-mir-130a-3p_+_3,0,0,9.474782692,0,0,0,0
hsa-mir-130a-3p_+_4,0,0,0,0,0,0,0
hsa-mir-130a-3p_+_5,17.97299639,44.84579617,36.71478293,14.25484758,0,0,0
hsa-mir-130a-3p_+_6,0,0,0,0,0,0,0
hsa-mir-130a-3p_+_7,0,0,0,0,0,0,0
hsa-mir-130a-5p_-_5,0,0,0,0,0,0,0
hsa-mir-130a-5p_-_6,0,0,0,0,0,0,0
hsa-mir-130b-3p,1156.262768,818.43578,826.6747899,644.3191106,880.0642055,256.3560204,128.198508
hsa-mir-130b-3p_-_1,0,0,0,11.40387806,0,0,0
hsa-mir-130b-3p_-_2,0,0,0,0,0,0,0
hsa-mir-130b-3p_+_1,31.45274369,0,29.60869591,19.00646344,70.66208949,0,0
hsa-mir-130b-3p_+_2,0,0,0,0,0,0,0
hsa-mir-130b-3p_+_3,0,0,0,0,0,0,0
hsa-mir-130b-3p_+_4,0,0,0,0,0,0,0
hsa-mir-130b-3p_+_5,0,0,8.290434856,0,0,0,0
hsa-mir-130b-5p,191.7119615,186.857484,135.6078273,444.7512445,202.350529,606.6561726,279.7058356
hsa-mir-130b-5p_+_1,0,0,0,0,0,0,0
hsa-mir-130b-5p_+_2,0,0,0,0,0,0,0
hsa-mir-130b-5p_+_4,0,0,0,0,0,0,0
hsa-mir-132-3p,760.8568474,620.366847,358.8573945,892.3534584,1448.572835,757.9221474,353.5170978
hsa-mir-132-3p_-_1,0,0,0,0,0,0,0
hsa-mir-132-3p_+_1,16.47524669,0,0,21.85743295,0,26.27251141,50.50244254
hsa-mir-132-3p_+_2,0,0,8.290434856,0,0,0,0
hsa-mir-132-3p_+_3,0,0,0,0,0,0,0
hsa-mir-132-3p_+_4,0,0,0,0,0,0,0
hsa-mir-132-3p_+_6,0,0,0,0,0,0,0
hsa-mir-132-5p,95.85598077,78.48014329,43.22869603,113.0884575,105.9931342,127.3818735,578.8356876
hsa-mir-132-5p_-_1,0,0,16.58086971,16.15549392,41.75487107,86.77890133,147.6225243
hsa-mir-132-5p_+_5,0,0,0,0,0,0,0
hsa-mir-1323,0,0,0,0,0,0,0
hsa-mir-133a-1,410.3834177,250.3890286,554.8669614,241.3820857,282.648358,749.9607803,1103.284129
hsa-mir-133a-1_+_1,266.5994465,142.0116879,247.5286978,108.3368416,109.2050474,492.0124864,501.1396221
hsa-mir-133a-1_+_2,0,0,0,0,0,12.73818735,0
hsa-mir-133a-1_+_4,0,0,0,0,0,0,0
hsa-mir-133a-1_+_5,0,0,0,0,0,0,0
hsa-mir-133a-1_+_6,0,0,0,0,0,0,0
hsa-mir-133a-2,410.3834177,250.3890286,554.8669614,241.3820857,282.648358,749.9607803,1103.284129
hsa-mir-133a-2_+_1,266.5994465,142.0116879,247.5286978,108.3368416,109.2050474,492.0124864,501.1396221
hsa-mir-133a-2_+_2,0,0,0,0,0,12.73818735,0
hsa-mir-133a-2_+_4,0,0,0,0,0,0,0
hsa-mir-133a-2_+_5,0,0,0,0,0,0,0
hsa-mir-133a-2_+_6,0,0,0,0,0,0,0
hsa-mir-133b,0,0,7.106087019,0,0,0,0
hsa-mir-133b_+_1,0,0,0,0,0,0,0
hsa-mir-134,130.3042239,108.3773407,91.19478341,125.4426587,57.81443686,105.0900456,602.1445072
hsa-mir-134_+_1,0,0,0,0,0,0,0
hsa-mir-134_+_2,0,0,0,0,0,0,0
hsa-mir-1343,0,0,0,0,0,0,0
hsa-mir-1343_-_1,0,0,0,0,0,0,0
hsa-mir-135a-1-3p,0,0,0,0,0,0,0
hsa-mir-135a-1-3p_-_1,0,0,0,11.40387806,0,0,0
hsa-mir-135a-1-5p,0,0,0,0,0,0,0
hsa-mir-135a-2-5p,0,0,0,0,0,0,0
hsa-mir-135b-3p,0,0,0,0,0,0,0
hsa-mir-135b-5p,25.46174489,0,84.08869639,63.67165252,0,0,0
hsa-mir-136-3p,892.6588209,440.9836623,724.8208759,694.6862387,475.3631475,497.5854434,361.2867043
hsa-mir-136-3p_+_1,179.7299639,145.7488375,152.188697,115.939427,80.29782897,18.31114432,58.27204909
hsa-mir-136-3p_+_2,0,0,21.31826106,0,0,0,0
hsa-mir-136-3p_+_3,0,0,0,0,0,0,0
hsa-mir-136-5p,615.5751265,216.7546815,561.9730484,107.3865184,269.8007053,265.909661,1348.026736
hsa-mir-136-5p_-_1,0,0,0,0,0,0,0
hsa-mir-136-5p_-_2,0,0,0,0,0,0,0
hsa-mir-136-5p_-_3,34.44824309,0,17.76521755,14.25484758,0,0,0
hsa-mir-136-5p_+_1,0,0,0,0,0,0,0
hsa-mir-136-5p_+_2,0,0,0,0,0,0,0
hsa-mir-136-5p_+_4,0,0,0,0,0,0,0
hsa-mir-136-5p_+_5,0,0,0,0,0,0,0
hsa-mir-136-5p_+_6,0,0,0,0,0,0,0
hsa-mir-136-5p_+_7,0,0,0,0,0,0,0
hsa-mir-137,0,0,8.290434856,0,0,25.4763747,0
hsa-mir-138-1-3p,29.95499399,0,8.290434856,11.40387806,0,26.27251141,0
hsa-mir-138-1-3p_-_2,0,0,0,22.80775613,0,0,0
hsa-mir-138-1-3p_+_1,0,0,0,0,0,0,0
hsa-mir-138-1-3p_+_2,0,0,0,0,0,0,0
hsa-mir-138-1-5p,53.91898918,78.48014329,71.65304411,43.71486591,237.6815738,14.33046077,380.7107207
hsa-mir-138-2-5p,46.43024069,78.48014329,62.77043534,14.25484758,202.350529,14.33046077,279.7058356
hsa-mir-138-2-5p_+_6,0,0,0,0,0,0,0
hsa-mir-139-3p,0,0,0,0,0,29.45705825,0
hsa-mir-139-3p_-_1,0,0,0,0,0,0,0
hsa-mir-139-3p_+_1,0,0,0,0,0,0,0
hsa-mir-139-3p_+_5,0,0,0,0,0,0,0
hsa-mir-139-5p,77.88298438,179.3831847,117.2504358,145.3994453,93.14548161,92.3518583,124.3137047
hsa-mir-139-5p_+_1,0,0,0,0,0,0,0
hsa-mir-140-3p,1327.006234,1745.248901,1631.439145,2336.84468,2669.099835,1677.460047,2004.558489
hsa-mir-140-3p_-_1,0,0,0,0,0,0,0
hsa-mir-140-3p_-_5,0,0,0,0,0,0,0
hsa-mir-140-3p_+_1,1753.864898,1603.237213,1750.466102,1818.918551,2219.431993,1577.146821,2156.065816
hsa-mir-140-3p_+_2,89.86498197,48.58294585,75.79826154,117.8400733,112.4169606,109.8668659,0
hsa-mir-140-3p_+_3,20.96849579,0,11.25130445,0,0,19.90341774,0
hsa-mir-140-3p_+_4,17.97299639,0,20.13391322,52.26777446,0,0,0
hsa-mir-140-3p_+_5,0,0,0,0,0,0,0
hsa-mir-140-3p_+_6,0,0,8.290434856,0,0,0,0
hsa-mir-140-3p_+_8,0,0,0,0,0,0,0
hsa-mir-140-5p,70.39423588,198.0689331,105.4069574,217.6240064,231.2577474,209.3839546,252.5122127
hsa-mir-140-5p_+_1,0,0,0,0,0,0,0
hsa-mir-141-3p,67879.51413,86477.64361,66571.59972,72058.25451,37438.05978,68445.46518,26673.05927
hsa-mir-141-3p_-_1,368.4464261,246.6518789,338.7234812,213.8227137,285.8602711,419.5640459,167.0465407
hsa-mir-141-3p_-_2,0,0,0,0,0,0,0
hsa-mir-141-3p_-_3,0,0,0,0,0,0,0
hsa-mir-141-3p_+_1,61.40773768,59.79439489,42.63652211,74.12520741,67.45017634,0,0
hsa-mir-141-3p_+_2,0,115.8516401,40.86000036,30.4103415,35.33104475,0,0
hsa-mir-141-3p_+_3,101.8469796,52.32009553,49.74260913,97.88328671,115.6288737,22.29182786,0
hsa-mir-141-3p_+_4,85.37173287,115.8516401,65.73130493,36.11228053,44.96678422,0,89.35047526
hsa-mir-141-3p_+_5,71.89198558,149.4859872,75.20608762,100.7342562,0,60.50638992,0
hsa-mir-141-3p_+_6,0,0,7.698260937,0,0,0,0
hsa-mir-141-3p_+_7,0,0,0,0,0,0,0
hsa-mir-141-3p_+_8,0,0,0,0,0,0,0
hsa-mir-141-5p,1478.278953,1337.899586,1321.140012,409.5892871,793.3425502,399.6606281,225.3185898
hsa-mir-141-5p_-_1,0,0,0,0,0,0,0
hsa-mir-141-5p_+_1,0,0,0,0,0,0,0
hsa-mir-141-5p_+_4,0,0,0,0,0,0,0
hsa-mir-142-3p,1551.668689,2040.483726,1803.761755,805.8740498,4541.645207,496.7893067,3566.249404
hsa-mir-142-3p_-_1,0,0,0,0,0,0,0
hsa-mir-142-3p_-_5,0,0,0,0,0,0,0
hsa-mir-142-3p_-_7,0,0,0,0,0,0,0
hsa-mir-142-3p_+_1,570.6426355,915.6016717,806.5408767,229.9782076,3253.66803,103.4977722,3068.994585
hsa-mir-142-3p_+_2,140.7884718,85.95444265,97.11652259,36.11228053,192.7147895,0,46.61763927
hsa-mir-142-3p_+_3,1536.691192,1199.625047,1711.382624,991.1870683,1952.843201,460.1670181,3185.538683
hsa-mir-142-3p_+_4,0,0,0,0,0,0,0
hsa-mir-142-3p_+_5,0,0,0,0,0,0,0
hsa-mir-142-3p_+_6,0,0,0,0,0,0,0
hsa-mir-142-3p_+_7,0,0,0,0,0,0,0
hsa-mir-142-5p,22006.43634,18932.40028,25536.90805,11981.67455,27461.85751,4660.584297,6646.898399
hsa-mir-142-5p_-_1,98.85148017,127.0630891,116.6582619,182.462049,179.8671369,78.02139753,81.58086872
hsa-mir-142-5p_-_2,30083.80046,24803.46243,29546.51765,37076.85855,41591.06349,19202.81743,13530.7698
hsa-mir-142-5p_-_3,0,0,0,0,0,0,0
hsa-mir-142-5p_+_1,876.1835742,616.6296973,997.8130523,362.0731285,1047.08369,132.1586938,555.5268679
hsa-mir-142-5p_+_2,23.96399519,0,11.84347837,15.20517075,0,0,0
hsa-mir-142-5p_+_3,0,0,0,0,0,0,0
hsa-mir-142-5p_+_4,0,0,0,0,0,0,0
hsa-mir-142-5p_+_6,0,0,0,0,0,0,0
hsa-mir-143-3p,1062130.697,566200.5995,677381.2312,1078497.059,662964.5713,2201580.727,2468827.443
hsa-mir-143-3p_-_1,7147.261566,4200.556241,5008.607001,7637.747333,5900.284473,17198.94133,22073.45219
hsa-mir-143-3p_-_2,97.35373047,74.74299361,56.84869615,81.72779279,57.81443686,352.6885623,361.2867043
hsa-mir-143-3p_-_3,0,0,14.21217404,27.55937199,0,23.08796457,0
hsa-mir-143-3p_-_4,0,0,0,0,0,0,0
hsa-mir-143-3p_-_5,0,0,0,0,0,0,0
hsa-mir-143-3p_-_6,0,0,0,13.30452441,0,20.69955445,0
hsa-mir-143-3p_-_7,0,0,0,0,0,0,0
hsa-mir-143-3p_+_1,915.1250664,1681.717356,1023.276531,891.4031353,725.8923739,1319.198528,2292.033931
hsa-mir-143-3p_+_2,390.9126716,881.9673246,606.9782662,192.9156039,282.648358,289.7937622,959.5464083
hsa-mir-143-3p_+_3,473.2889051,433.5093629,403.8626123,365.8744212,346.8866212,1053.288867,1297.524293
hsa-mir-143-3p_+_4,179.7299639,362.503519,187.7191321,70.32391472,125.2646132,318.4546838,571.066081
hsa-mir-143-3p_+_5,55.41673888,56.05724521,35.5304351,14.25484758,32.11913159,27.06864812,108.7744916
hsa-mir-143-3p_+_6,0,0,23.68695673,0,0,0,0
hsa-mir-143-3p_+_7,0,0,0,0,0,0,0
hsa-mir-143-5p,307.0386884,306.4462738,339.9078291,353.52022,279.4364448,609.0445827,2758.210323
hsa-mir-143-5p_-_1,0,0,14.80434796,0,0,46.97206586,42.732836
hsa-mir-143-5p_+_1,0,0,6.513913101,0,0,0,0
hsa-mir-143-5p_+_2,0,0,0,0,0,0,0
hsa-mir-143-5p_+_3,0,0,0,0,0,0,0
hsa-mir-143-5p_+_4,0,0,0,0,0,0,0
hsa-mir-143-5p_+_5,0,0,0,0,0,0,0
hsa-mir-143-5p_+_8,0,0,0,0,0,0,0
hsa-mir-144-3p,284.5724429,852.0701271,964.0591389,87.42973182,308.3436632,305.7164964,62.15685236
hsa-mir-144-3p_-_1,19.47074609,56.05724521,84.08869639,19.95678661,0,0,0
hsa-mir-144-3p_+_2,0,0,0,0,0,0,0
hsa-mir-144-3p_+_5,0,0,0,0,0,0,0
hsa-mir-144-5p,125.8109748,216.7546815,371.2930467,280.3453357,189.5028764,192.6650837,46.61763927
hsa-mir-144-5p_+_1,0,0,15.98869579,0,0,0,0
hsa-mir-145-3p,65.90098678,41.10864648,49.74260913,0,99.56930792,35.82615193,539.9876549
hsa-mir-145-3p_-_3,0,0,0,0,0,0,0
hsa-mir-145-3p_-_4,0,0,0,0,0,0,0
hsa-mir-145-3p_-_7,0,0,0,0,0,0,0
hsa-mir-145-3p_-_8,0,0,0,0,0,0,0
hsa-mir-145-3p_+_1,62.90548738,145.7488375,88.23391382,141.5981526,134.9003527,664.7741524,1165.440982
hsa-mir-145-3p_+_2,1201.195259,2096.540971,1426.546969,2304.533692,1782.611803,6256.042263,12835.39001
hsa-mir-145-3p_+_3,0,0,8.290434856,0,0,50.9527494,58.27204909
hsa-mir-145-3p_+_4,0,0,0,0,0,0,58.27204909
hsa-mir-145-3p_+_5,0,0,6.513913101,19.00646344,0,0,101.0048851
hsa-mir-145-3p_+_6,0,0,0,0,0,0,0
hsa-mir-145-3p_+_7,0,0,0,0,0,0,0
hsa-mir-145-5p,2751.366198,3397.06906,3592.126988,1645.959734,4188.334759,2265.805075,11557.28974
hsa-mir-145-5p_-_1,0,0,0,0,0,0,0
hsa-mir-145-5p_+_1,31.45274369,63.53154457,37.89913077,22.80775613,44.96678422,25.4763747,0
hsa-mir-145-5p_+_2,0,0,0,0,0,0,0
hsa-mir-145-5p_+_3,0,0,13.0278262,0,0,25.4763747,0
hsa-mir-145-5p_+_4,0,0,0,0,0,0,0
hsa-mir-145-5p_+_5,0,0,0,0,0,0,0
hsa-mir-145-5p_+_6,0,0,0,0,0,0,0
hsa-mir-1468,193.2097112,71.00584393,210.221741,416.2415493,109.2050474,513.5081776,687.6101792
hsa-mir-1468_+_1,0,0,0,0,0,0,0
hsa-mir-1469_+_1,0,0,0,0,0,0,0
hsa-mir-1469_+_2,0,0,0,0,0,0,0
hsa-mir-146a-3p,0,0,0,0,0,0,0
hsa-mir-146a-3p_-_1,23.96399519,0,0,0,0,0,0
hsa-mir-146a-3p_-_2,0,0,0,0,0,0,0
hsa-mir-146a-3p_+_2,0,0,0,0,0,0,0
hsa-mir-146a-5p,42098.74855,9739.012067,5652.30005,14607.41748,12381.92523,15474.50922,12955.81891
hsa-mir-146a-5p_-_1,682.973863,429.7722132,229.1713064,175.8097868,301.9198369,188.6844001,221.4337865
hsa-mir-146a-5p_+_1,176.7344645,100.9030414,53.29565264,23.7580793,86.72165529,25.4763747,120.4289014
hsa-mir-146a-5p_+_2,191.7119615,85.95444265,55.66434832,0,134.9003527,57.32184308,132.0833113
hsa-mir-146a-5p_+_3,0,0,0,0,0,0,0
hsa-mir-146a-5p_+_4,0,0,0,0,0,0,0
hsa-mir-146a-5p_+_5,0,0,7.106087019,0,0,0,0
hsa-mir-146a-5p_+_6,0,0,0,0,0,0,0
hsa-mir-146b-3p,357.9621782,164.4345859,125.5408707,258.4879028,202.350529,105.0900456,380.7107207
hsa-mir-146b-3p_-_2,0,0,0,0,0,0,0
hsa-mir-146b-3p_+_1,235.1467028,134.5373885,141.5295665,210.9717442,199.1386158,320.0469572,497.2548189
hsa-mir-146b-3p_+_2,0,0,0,0,0,9.553640513,0
hsa-mir-146b-3p_+_4,0,0,0,0,0,0,0
hsa-mir-146b-3p_+_5,0,0,0,0,0,0,0
hsa-mir-146b-5p,46331.38921,12631.56592,9118.293993,62192.94966,33831.0813,65266.4913,20014.50646
hsa-mir-146b-5p_-_1,65.90098678,41.10864648,12.43565228,439.0493054,176.6552237,195.0534938,81.58086872
hsa-mir-146b-5p_-_2,0,0,0,0,0,0,0
hsa-mir-146b-5p_+_1,70.39423588,123.3259395,36.12260901,76.02585375,61.02635002,82.79821778,54.38724581
hsa-mir-146b-5p_+_2,134.797473,168.1717356,64.54695709,107.3865184,157.3837448,103.4977722,0
hsa-mir-146b-5p_+_3,67.39873648,0,24.27913065,14.25484758,48.17869738,0,0
hsa-mir-146b-5p_+_4,79.38073408,138.2745382,38.49130469,63.67165252,118.8407869,11.14591393,0
hsa-mir-146b-5p_+_5,89.86498197,119.5887898,56.25652223,54.1684208,57.81443686,26.27251141,89.35047526
hsa-mir-146b-5p_+_6,50.92348978,93.42874201,37.30695685,13.30452441,0,0,0
hsa-mir-146b-5p_+_7,58.41223828,78.48014329,11.84347837,18.05614027,57.81443686,0,0
hsa-mir-146b-5p_+_8,0,0,0,0,0,0,0
hsa-mir-147a,0,0,0,0,0,0,50.50244254
hsa-mir-147a_-_1,0,0,0,0,0,0,0
